,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
247,25975,8,43.32,43.94,135.9,25.6,96.0,1.0,1.0,-1,0,1001.15,949.21,105.8,45.2,25.4,95.0,0.0,0.7,-1.0,-1.0,1000.75,448.65,11
252,26065,8,27.97,28.38,246.9,28.8,79.0,1.0,0.5,-1,-1,999.04,795.63,111.0,43.32,25.6,96.0,1.0,1.0,-1.0,0.0,1001.15,949.21,14
257,26155,8,8.14,8.41,308.1,27.9,79.0,5.0,0.0,1,0,999.56,112.91,61.2,27.97,28.8,79.0,1.0,0.5,-1.0,-1.0,999.04,795.63,17
262,26245,8,0.0,0.0,310.3,27.0,80.0,4.0,0.0,1,1,1001.28,0.0,2.2,8.14,27.9,79.0,5.0,0.0,1.0,0.0,999.56,112.91,20
272,26605,8,45.42,46.03,16.1,25.1,93.0,1.0,0.2,-1,1,1001.94,449.5,16.1,0.0,25.0,91.0,1.0,0.1,-1.0,0.0,1000.75,0.0,8
277,26695,8,13.45,13.73,152.0,28.0,79.0,2.0,0.3,1,1,1001.55,949.91,135.9,45.42,25.1,93.0,1.0,0.2,-1.0,1.0,1001.94,449.5,11
282,26785,8,15.49,15.78,223.2,27.7,79.0,4.0,0.2,1,1,999.96,794.76,71.2,13.45,28.0,79.0,2.0,0.3,1.0,1.0,1001.55,949.91,14
287,26875,8,3.03,3.46,243.2,24.7,95.0,3.0,2.0,1,1,1000.36,109.94,20.0,15.49,27.7,79.0,4.0,0.2,1.0,1.0,999.96,794.76,17
292,26965,8,0.0,0.0,244.6,24.3,95.0,1.0,2.0,-1,1,1001.68,0.0,1.4,3.03,24.7,95.0,3.0,2.0,1.0,1.0,1000.36,109.94,20
302,27325,8,37.11,37.57,33.5,27.8,80.0,1.0,0.0,1,0,1001.28,450.32,33.5,0.0,24.2,94.0,1.0,0.0,-1.0,0.0,1000.23,0.0,8
307,27415,8,68.81,69.92,211.4,31.4,65.0,1.0,0.0,0,-1,1000.62,950.58,177.9,37.11,27.8,80.0,1.0,0.0,1.0,0.0,1001.28,450.32,11
312,27505,8,63.18,64.22,413.9,32.1,61.0,2.0,0.0,1,-1,998.37,793.86,202.5,68.81,31.4,65.0,1.0,0.0,0.0,-1.0,1000.62,950.58,14
317,27595,8,3.79,4.1,514.2,29.5,74.0,2.0,0.0,1,0,998.64,106.95,100.3,63.18,32.1,61.0,2.0,0.0,1.0,-1.0,998.37,793.86,17
322,27685,8,0.0,0.0,515.8,27.7,86.0,2.0,0.0,1,0,999.96,0.0,1.6,3.79,29.5,74.0,2.0,0.0,1.0,0.0,998.64,106.95,20
332,28045,8,34.96,35.4,28.3,28.0,83.0,1.0,0.0,-1,0,1000.62,451.12,28.3,0.0,26.0,92.0,1.0,0.0,-1.0,1.0,999.17,0.0,8
337,28135,8,76.72,77.99,188.6,32.1,64.0,3.0,0.0,1,0,999.96,951.19,160.3,34.96,28.0,83.0,1.0,0.0,-1.0,0.0,1000.62,451.12,11
342,28225,8,63.08,63.95,402.9,31.4,69.0,4.0,0.0,1,-1,998.24,792.91,214.3,76.72,32.1,64.0,3.0,0.0,1.0,0.0,999.96,951.19,14
347,28315,8,4.93,5.17,501.9,29.6,76.0,3.0,0.0,1,0,998.9,103.94,99.0,63.08,31.4,69.0,4.0,0.0,1.0,-1.0,998.24,792.91,17
352,28405,8,0.0,0.0,504.0,28.3,81.0,4.0,0.0,1,0,1000.36,0.0,2.1,4.93,29.6,76.0,3.0,0.0,1.0,0.0,998.9,103.94,20
362,28765,8,34.02,34.47,30.2,28.5,73.0,0.0,0.0,-1,0,1001.55,451.89,30.2,0.0,26.8,83.0,1.0,0.0,-1.0,1.0,999.96,0.0,8
367,28855,8,70.46,71.7,182.8,31.9,61.0,0.0,0.0,0,0,1000.75,951.76,152.6,34.02,28.5,73.0,0.0,0.0,-1.0,0.0,1001.55,451.89,11
372,28945,8,61.36,62.25,396.0,30.6,69.0,1.5,0.0,0,0,1000.09,791.94,213.2,70.46,31.9,61.0,0.0,0.0,0.0,0.0,1000.75,951.76,14
377,29035,8,4.76,5.08,478.3,29.2,77.0,3.0,0.0,1,0,999.43,100.93,82.3,61.36,30.6,69.0,1.5,0.0,0.0,0.0,1000.09,791.94,17
382,29125,8,0.0,0.0,479.9,28.2,82.0,4.0,0.0,1,1,1000.89,0.0,1.6,4.76,29.2,77.0,3.0,0.0,1.0,0.0,999.43,100.93,20
392,29485,8,34.59,35.03,29.5,28.4,72.0,2.0,0.0,0,1,1001.15,452.64,29.5,0.0,25.5,83.0,0.0,0.0,0.0,1.0,1000.36,0.0,8
397,29575,8,20.5,21.03,190.7,30.5,63.0,2.0,0.0,-1,1,1000.36,952.29,161.2,34.59,28.4,72.0,2.0,0.0,0.0,1.0,1001.15,452.64,11
402,29665,8,61.05,61.88,396.4,30.6,66.0,3.0,0.0,1,-1,998.64,790.93,205.7,20.5,30.5,63.0,2.0,0.0,-1.0,1.0,1000.36,952.29,14
407,29755,8,4.96,5.38,487.5,29.5,73.0,3.0,0.0,1,0,998.77,97.9,91.1,61.05,30.6,66.0,3.0,0.0,1.0,-1.0,998.64,790.93,17
412,29845,8,0.0,0.0,489.4,28.1,80.0,4.0,0.0,1,0,1000.62,0.0,1.9,4.96,29.5,73.0,3.0,0.0,1.0,0.0,998.77,97.9,20
422,30205,8,33.83,34.36,22.3,27.8,77.0,1.0,0.0,-1,1,1002.21,453.35,22.3,0.0,25.3,88.0,1.0,0.0,-1.0,1.0,1000.49,0.0,8
427,30295,8,85.5,86.88,172.4,31.8,60.0,2.0,0.0,-1,1,1001.55,952.76,150.1,33.83,27.8,77.0,1.0,0.0,-1.0,1.0,1002.21,453.35,11
432,30385,8,59.83,60.7,372.2,32.8,58.0,5.0,0.0,1,0,999.56,789.89,199.8,85.5,31.8,60.0,2.0,0.0,-1.0,1.0,1001.55,952.76,14
437,30475,8,3.12,3.44,463.6,30.0,66.0,3.0,0.0,1,0,1000.23,94.87,91.4,59.83,32.8,58.0,5.0,0.0,1.0,0.0,999.56,789.89,17
442,30565,8,0.0,0.0,464.9,28.1,80.0,4.0,0.0,1,0,1001.81,0.0,1.3,3.12,30.0,66.0,3.0,0.0,1.0,0.0,1000.23,94.87,20
452,30925,8,34.21,34.81,28.0,27.9,72.0,3.0,0.0,0,1,1002.47,454.03,28.0,0.0,25.6,82.0,2.0,0.0,-1.0,1.0,1001.55,0.0,8
457,31015,8,80.44,81.81,178.5,31.6,60.0,1.0,0.0,1,1,1001.94,953.19,150.5,34.21,27.9,72.0,3.0,0.0,0.0,1.0,1002.47,454.03,11
462,31105,8,60.38,61.25,380.1,32.4,58.0,3.0,0.0,1,-1,1000.36,788.82,201.6,80.44,31.6,60.0,1.0,0.0,1.0,1.0,1001.94,953.19,14
467,31195,8,3.7,3.96,470.6,29.7,67.0,3.0,0.0,1,0,999.83,91.83,90.5,60.38,32.4,58.0,3.0,0.0,1.0,-1.0,1000.36,788.82,17
472,31285,8,0.0,0.0,472.0,27.6,80.0,2.0,0.0,1,-1,1000.62,0.0,1.4,3.7,29.7,67.0,3.0,0.0,1.0,0.0,999.83,91.83,20
482,31645,8,32.21,32.65,27.3,26.7,81.0,2.0,0.0,-1,-1,999.56,454.68,27.3,0.0,24.9,90.0,2.0,0.0,-1.0,0.0,998.77,0.0,8
487,31735,8,71.36,72.45,181.5,32.0,58.0,1.0,0.0,1,-1,998.77,953.58,154.2,32.21,26.7,81.0,2.0,0.0,-1.0,-1.0,999.56,454.68,11
492,31825,8,58.11,58.91,387.0,33.3,59.0,2.0,0.0,1,-1,996.39,787.73,205.5,71.36,32.0,58.0,1.0,0.0,1.0,-1.0,998.77,953.58,14
497,31915,8,4.19,4.56,481.5,30.2,69.0,2.0,0.0,1,-1,995.99,88.79,94.5,58.11,33.3,59.0,2.0,0.0,1.0,-1.0,996.39,787.73,17
502,32005,8,0.0,0.0,482.9,28.8,77.0,3.0,0.0,1,0,998.37,0.0,1.4,4.19,30.2,69.0,2.0,0.0,1.0,-1.0,995.99,88.79,20
512,32365,8,4.34,4.67,3.5,23.0,97.0,0.0,83.0,0,1,1001.42,455.29,3.5,0.0,23.2,93.0,2.0,74.0,1.0,1.0,999.17,0.0,8
517,32455,8,24.12,24.48,46.1,24.2,87.0,1.0,14.0,1,1,1001.94,953.91,42.6,4.34,23.0,97.0,0.0,83.0,0.0,1.0,1001.42,455.29,11
522,32545,8,39.23,39.78,149.6,23.6,86.0,2.0,14.0,-1,1,1000.75,786.61,103.5,24.12,24.2,87.0,1.0,14.0,1.0,1.0,1001.94,953.91,14
527,32635,8,9.21,9.47,202.7,24.3,79.0,2.0,12.0,-1,1,1000.36,85.75,53.1,39.23,23.6,86.0,2.0,14.0,-1.0,1.0,1000.75,786.61,17
532,32725,8,0.0,0.0,205.7,24.4,73.0,3.0,,1,1,1001.55,0.0,3.0,9.21,24.3,79.0,2.0,12.0,-1.0,1.0,1000.36,85.75,20
542,33085,8,44.37,44.94,33.0,24.3,59.0,2.0,0.0,0,1,1003.53,455.87,33.0,0.0,22.7,73.0,2.0,0.0,-1.0,1.0,1002.08,0.0,8
547,33175,8,86.84,88.3,243.7,27.8,50.0,2.0,0.0,1,1,1002.47,954.2,210.7,44.37,24.3,59.0,2.0,0.0,0.0,1.0,1003.53,455.87,11
552,33265,8,20.85,21.25,498.5,27.9,58.0,4.0,0.0,1,0,1000.36,785.46,254.8,86.84,27.8,50.0,2.0,0.0,1.0,1.0,1002.47,954.2,14
557,33355,8,4.1,4.42,602.9,26.2,58.0,4.0,0.0,1,0,1000.75,82.72,104.4,20.85,27.9,58.0,4.0,0.0,1.0,0.0,1000.36,785.46,17
562,33445,8,0.0,0.0,604.5,25.3,61.0,3.0,0.0,1,1,1002.21,0.0,1.6,4.1,26.2,58.0,4.0,0.0,1.0,0.0,1000.75,82.72,20
572,33805,8,41.82,42.39,34.3,24.0,69.0,2.0,0.0,-1,0,1001.02,456.41,34.3,0.0,21.5,84.0,2.0,0.0,-1.0,1.0,999.96,0.0,8
577,33895,8,95.01,96.63,237.6,28.8,57.0,2.0,0.0,1,1,1000.36,954.45,203.3,41.82,24.0,69.0,2.0,0.0,-1.0,0.0,1001.02,456.41,11
582,33985,8,69.46,70.69,484.1,31.1,51.0,1.0,0.0,1,0,997.45,784.3,246.5,95.01,28.8,57.0,2.0,0.0,1.0,1.0,1000.36,954.45,14
587,34075,8,4.43,4.75,588.0,28.0,67.0,4.0,0.0,1,0,997.58,79.7,103.9,69.46,31.1,51.0,1.0,0.0,1.0,0.0,997.45,784.3,17
592,34165,8,0.0,0.0,589.7,26.3,73.0,4.0,0.0,1,1,999.04,0.0,1.7,4.43,28.0,67.0,4.0,0.0,1.0,0.0,997.58,79.7,20
602,34525,8,39.73,40.3,32.8,26.0,70.0,3.0,0.0,0,1,999.83,456.91,32.8,0.0,23.3,83.0,1.0,0.0,-1.0,1.0,998.51,0.0,8
607,34615,8,83.8,85.26,227.1,29.5,57.0,4.0,0.0,1,1,998.37,954.64,194.3,39.73,26.0,70.0,3.0,0.0,0.0,1.0,999.83,456.91,11
612,34705,8,56.05,56.87,466.7,30.0,56.0,4.0,0.0,1,1,996.66,783.11,239.6,83.8,29.5,57.0,4.0,0.0,1.0,1.0,998.37,954.64,14
617,34795,8,5.82,6.06,568.5,28.5,58.0,3.0,0.0,0,1,997.18,76.68,101.8,56.05,30.0,56.0,4.0,0.0,1.0,1.0,996.66,783.11,17
622,34885,8,0.0,0.0,570.3,26.5,64.0,2.0,0.0,1,1,999.17,0.0,1.8,5.82,28.5,58.0,3.0,0.0,0.0,1.0,997.18,76.68,20
632,35245,8,8.57,8.84,8.9,24.3,51.0,3.0,0.0,1,1,1002.08,457.38,8.9,0.0,24.4,62.0,3.0,0.0,1.0,1.0,999.3,0.0,8
637,35335,8,10.77,11.03,56.8,25.7,50.0,2.0,0.0,1,1,1002.08,954.79,47.9,8.57,24.3,51.0,3.0,0.0,1.0,1.0,1002.08,457.38,11
642,35425,8,7.96,8.27,105.7,23.3,74.0,4.0,0.0,1,1,1000.62,781.91,48.9,10.77,25.7,50.0,2.0,0.0,1.0,1.0,1002.08,954.79,14
647,35515,8,2.88,3.26,124.4,23.3,72.0,2.0,0.2,0,1,1001.28,73.69,18.7,7.96,23.3,74.0,4.0,0.0,1.0,1.0,1000.62,781.91,17
652,35605,8,0.0,0.0,125.3,23.1,62.0,4.0,0.2,1,1,1002.87,0.0,0.9,2.88,23.3,72.0,2.0,0.2,0.0,1.0,1001.28,73.69,20
662,35965,8,4.18,4.5,3.8,20.8,70.0,2.0,0.0,-1,1,1004.59,457.8,3.8,0.0,20.6,68.0,3.0,0.0,0.0,1.0,1002.87,0.0,8
667,36055,8,15.96,16.28,59.3,21.1,70.0,2.0,0.0,0,1,1004.59,954.9,55.5,4.18,20.8,70.0,2.0,0.0,-1.0,1.0,1004.59,457.8,11
672,36145,8,13.15,13.4,110.6,21.1,72.0,3.0,0.0,-1,1,1002.47,780.69,51.3,15.96,21.1,70.0,2.0,0.0,0.0,1.0,1004.59,954.9,14
677,36235,8,3.15,3.52,135.7,21.1,72.0,3.0,0.0,0,1,1002.74,70.7,25.1,13.15,21.1,72.0,3.0,0.0,-1.0,1.0,1002.47,780.69,17
682,36325,8,0.0,0.0,136.2,19.6,84.0,3.0,0.5,1,1,1004.06,0.0,0.5,3.15,21.1,72.0,3.0,0.0,0.0,1.0,1002.74,70.7,20
692,36685,8,3.61,4.01,2.2,17.9,95.0,1.0,16.0,-1,0,1004.32,458.18,2.2,0.0,17.6,95.0,2.0,8.0,-1.0,1.0,1002.87,0.0,8
702,36895,8,0.0,0.0,352.5,18.0,88.0,3.0,0.0,1,1,1004.72,0.0,0.0,0.76,19.7,82.0,4.0,0.0,1.0,0.0,1001.15,1.25,20
712,37255,8,2.07,2.43,0.4,11.7,96.0,2.0,2.0,1,0,1009.21,354.85,0.4,0.0,13.0,89.0,3.0,0.0,1.0,0.0,1006.7,0.0,8
717,37345,8,21.08,21.49,24.9,13.2,86.0,1.0,2.0,1,-1,1010.27,881.82,24.5,2.07,11.7,96.0,2.0,2.0,1.0,0.0,1009.21,354.85,11
722,37435,8,23.7,24.04,137.7,14.1,77.0,3.0,2.0,1,-1,1008.82,727.92,112.8,21.08,13.2,86.0,1.0,2.0,1.0,-1.0,1010.27,881.82,14
727,37525,8,0.03,0.41,169.3,13.6,71.0,2.0,2.0,1,0,1010.01,1.41,31.6,23.7,14.1,77.0,3.0,2.0,1.0,-1.0,1008.82,727.92,17
732,37615,8,0.0,0.0,169.3,12.8,69.0,4.0,0.0,1,1,1011.86,0.0,0.0,0.03,13.6,71.0,2.0,2.0,1.0,0.0,1010.01,1.41,20
742,37975,8,4.82,5.22,2.1,11.0,75.0,0.0,0.0,-1,1,1013.71,352.32,2.1,0.0,9.9,77.0,2.0,0.0,1.0,0.0,1012.26,0.0,8
747,38065,8,23.47,23.81,45.0,13.5,71.0,1.0,0.0,-1,-1,1013.18,880.98,42.9,4.82,11.0,75.0,0.0,0.0,-1.0,1.0,1013.71,352.32,11
752,38155,8,27.93,28.33,144.0,16.4,60.0,2.0,0.0,-1,-1,1010.14,728.92,99.0,23.47,13.5,71.0,1.0,0.0,-1.0,-1.0,1013.18,880.98,14
757,38245,8,0.77,1.23,185.1,15.7,66.0,0.0,0.0,0,0,1009.48,1.6,41.1,27.93,16.4,60.0,2.0,0.0,-1.0,-1.0,1010.14,728.92,17
762,38335,8,0.0,0.0,185.2,15.5,72.0,0.0,0.0,0,0,1010.27,0.0,0.1,0.77,15.7,66.0,0.0,0.0,0.0,0.0,1009.48,1.6,20
772,38695,8,24.38,24.76,7.3,16.3,80.0,2.0,0.0,-1,0,1009.08,349.83,7.3,0.0,15.3,81.0,1.0,0.0,-1.0,-1.0,1008.42,0.0,8
777,38785,8,29.62,30.02,71.7,20.6,69.0,2.0,0.0,-1,0,1008.69,880.22,64.4,24.38,16.3,80.0,2.0,0.0,-1.0,0.0,1009.08,349.83,11
782,38875,8,47.12,47.9,195.2,24.3,63.0,3.0,0.0,1,0,1005.25,730.01,123.5,29.62,20.6,69.0,2.0,0.0,-1.0,0.0,1008.69,880.22,14
787,38965,8,0.55,0.69,247.4,20.4,84.0,2.0,0.0,1,1,1004.72,1.83,52.2,47.12,24.3,63.0,3.0,0.0,1.0,0.0,1005.25,730.01,17
792,39055,8,0.0,0.0,247.4,18.2,91.0,1.0,0.0,1,1,1005.38,0.0,0.0,0.55,20.4,84.0,2.0,0.0,1.0,1.0,1004.72,1.83,20
802,39415,8,3.21,3.46,1.4,17.0,99.0,1.0,0.0,-1,0,1003.53,347.4,1.4,0.0,16.8,98.0,1.0,0.0,-1.0,0.0,1002.34,0.0,8
807,39505,8,22.78,23.11,39.3,18.3,97.0,1.0,0.0,0,-1,1002.74,879.53,37.9,3.21,17.0,99.0,1.0,0.0,-1.0,0.0,1003.53,347.4,11
812,39595,8,25.97,26.32,126.5,20.5,84.0,3.0,0.0,1,0,1000.49,731.19,87.2,22.78,18.3,97.0,1.0,0.0,0.0,-1.0,1002.74,879.53,14
817,39685,8,0.0,0.13,143.8,16.8,94.0,4.0,0.0,1,0,1003.53,2.09,17.3,25.97,20.5,84.0,3.0,0.0,1.0,0.0,1000.49,731.19,17
822,39775,8,0.0,0.0,143.8,13.5,97.0,4.0,0.4,1,0,1006.97,0.0,0.0,0.0,16.8,94.0,4.0,0.0,1.0,0.0,1003.53,2.09,20
832,40135,8,5.22,5.61,1.7,6.3,86.0,3.0,10.0,0,1,1015.03,345.17,1.7,0.0,7.0,81.0,2.0,7.0,-1.0,1.0,1013.05,0.0,8
837,40225,8,6.5,6.71,15.1,6.4,78.0,3.0,9.0,-1,1,1017.01,879.04,13.4,5.22,6.3,86.0,3.0,10.0,0.0,1.0,1015.03,345.17,11
842,40315,8,5.37,5.61,40.5,6.6,69.0,2.0,7.0,-1,1,1016.62,732.59,25.4,6.5,6.4,78.0,3.0,9.0,-1.0,1.0,1017.01,879.04,14
847,40405,8,0.0,0.07,49.9,5.9,67.0,2.0,4.0,0,1,1018.2,2.41,9.4,5.37,6.6,69.0,2.0,7.0,-1.0,1.0,1016.62,732.59,17
852,40495,8,0.0,0.0,49.9,5.3,61.0,2.0,0.6,-1,1,1020.19,0.0,0.0,0.0,5.9,67.0,2.0,4.0,0.0,1.0,1018.2,2.41,20
862,40855,8,11.46,11.75,3.9,3.7,46.0,3.0,0.1,-1,1,1022.57,343.13,3.9,0.0,3.7,47.0,2.0,0.1,0.0,1.0,1020.98,0.0,8
867,40945,8,52.17,53.33,71.2,5.1,42.0,3.0,0.0,0,1,1022.3,878.75,67.3,11.46,3.7,46.0,3.0,0.1,-1.0,1.0,1022.57,343.13,11
872,41035,8,25.09,25.47,150.5,6.2,44.0,3.0,0.0,1,1,1019.53,734.21,79.3,52.17,5.1,42.0,3.0,0.0,0.0,1.0,1022.3,878.75,14
877,41125,8,0.48,0.83,184.5,5.6,50.0,3.0,0.0,1,0,1019.66,2.8,34.0,25.09,6.2,44.0,3.0,0.0,1.0,1.0,1019.53,734.21,17
882,41215,8,0.0,0.0,184.5,5.1,46.0,4.0,0.0,1,1,1020.72,0.0,0.0,0.48,5.6,50.0,3.0,0.0,1.0,0.0,1019.66,2.8,20
892,41575,8,0.75,1.38,0.3,4.5,90.0,1.0,1.0,-1,1,1017.41,341.16,0.3,0.0,3.0,92.0,2.0,1.0,-1.0,1.0,1017.15,0.0,8
897,41665,8,4.78,5.07,12.4,5.5,95.0,2.0,2.0,-1,0,1015.82,878.54,12.1,0.75,4.5,90.0,1.0,1.0,-1.0,1.0,1017.41,341.16,11
902,41755,8,6.69,6.98,33.4,7.0,96.0,2.0,1.0,-1,-1,1012.65,735.91,21.0,4.78,5.5,95.0,2.0,2.0,-1.0,0.0,1015.82,878.54,14
907,41845,8,0.0,0.0,42.7,7.6,98.0,2.0,1.0,-1,0,1012.26,3.25,9.3,6.69,7.0,96.0,2.0,1.0,-1.0,-1.0,1012.65,735.91,17
